# Title: Online Malicious URL Splunk Lookup
# Updated: 2025-07-19T12:11:28Z
# Expires: 12 hours (update frequency)
# Homepage: https://gitlab.com/malware-filter/urlhaus-filter
# License: https://gitlab.com/malware-filter/urlhaus-filter#license
# Source: https://urlhaus.abuse.ch/api/
"host","path","message","updated"
"107.150.0.200","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.201","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.202","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.205","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.207","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.212","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.214","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.216","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.218","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.220","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.221","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.222","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.223","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.225","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.229","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.231","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.232","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.234","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.236","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.247","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.248","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.250","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.56","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.172.86.208","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.174.42.85","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.180.89.159","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.189.5.6","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.198.40.184","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.107.81.168","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.108.84.121","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.120.137.172","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.160.87.2","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.171.30.19","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.171.80.104","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.202.63.7","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.207.216.197","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.207.217.114","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.210.138.197","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.229.224.26","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.245.220.229","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.248.58.238","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.69.79.44","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.73.242.146","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.74.204.206","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.87.223.241","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.92.143.90","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"109.92.232.94","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"110.178.41.217","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"110.183.48.55","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"110.183.49.235","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"110.227.197.204","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"110.34.7.5","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"110.39.41.202","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"110.40.147.170","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"110.40.187.36","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"110.74.207.194","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"110.93.196.173","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"111.127.224.161","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"111.173.104.176","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"111.185.23.52","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"111.22.34.104","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"111.229.108.128","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"111.229.234.91","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"111.231.144.159","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"111.231.145.137","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"111.46.219.240","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"111.57.151.202","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"111.70.24.154","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"111.74.21.155","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.166.18.116","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.168.60.136","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.198.135.190","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.227.26.133","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.238.16.91","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.243.69.230","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.247.105.79","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.248.191.23","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.253.131.89","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.33.27.73","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.4.110.22","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.4.110.28","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.4.110.42","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.5.6.69","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.64.53.135","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.78.43.109","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.87.155.16","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"112.87.155.246","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.106.6.106","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
